Shipping ID,Ship Date,Ship Month,Ship Mode,Customer ID,Customer Type,Country,City,State,Region,Category,Primary Product Category,Sub-Category,Secondary Product Category,Product Name,Sales,Quantity,Discount,Profit,Returned
CA-2016-119823,6/06/2016,6,First Class,KD-16270,Non-Corporate,United States,Springfield,Virginia,South,Office Supplies,Office Furniture,Paper,Fully Assembled,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",76,2,0,36,0
CA-2016-106075,23/09/2016,9,Standard Class,HM-14980,Non-Corporate,United States,New York City,New York,East,Office Supplies,Office Furniture,Binders,Fully Assembled,Avery Binding System Hidden Tab Executive Style Index Sets,5,1,0,2,0
CA-2016-127208,15/06/2016,6,First Class,SC-20770,Corporate,United States,Decatur,Alabama,South,Office Supplies,Office Furniture,Appliances,Fully Assembled,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208,1,0,56,0
CA-2016-127208,15/06/2016,6,First Class,SC-20770,Corporate,United States,Decatur,Alabama,South,Office Supplies,Office Furniture,Binders,Fully Assembled,Avery Heavy-Duty EZD  Binder With Locking Rings,17,3,0,8,0
CA-2016-159695,10/04/2016,4,Second Class,GM-14455,Corporate,United States,Houston,Texas,Central,Office Supplies,Office Furniture,Storage,Fully Assembled,Eldon Portable Mobile Manager,158,7,0,14,0
CA-2016-109806,22/09/2016,9,Standard Class,JS-15685,Corporate,United States,Los Angeles,California,West,Office Supplies,Office Furniture,Art,Fully Assembled,Turquoise Lead Holder with Pocket Clip,20,3,0,7,1
CA-2016-109806,22/09/2016,9,Standard Class,JS-15685,Corporate,United States,Los Angeles,California,West,Technology,Office Technology,Phones,Handheld Technology,Panasonic Kx-TS550,74,2,0,8,1
CA-2016-109806,22/09/2016,9,Standard Class,JS-15685,Corporate,United States,Los Angeles,California,West,Office Supplies,Office Furniture,Paper,Fully Assembled,Xerox 1995,6,1,0,3,1
CA-2016-149223,11/09/2016,9,Standard Class,ER-13855,Corporate,United States,Saint Paul,Minnesota,Central,Office Supplies,Office Furniture,Appliances,Fully Assembled,Fellowes Basic Home/Office Series Surge Protectors,78,6,0,23,0
CA-2016-158568,2/09/2016,9,Standard Class,RB-19465,Corporate,United States,Chicago,Illinois,Central,Office Supplies,Office Furniture,Paper,Fully Assembled,Avery Personal Creations Heavyweight Cards,65,7,0,23,0
CA-2016-158568,2/09/2016,9,Standard Class,RB-19465,Corporate,United States,Chicago,Illinois,Central,Technology,Office Technology,Accessories,Non-Handheld,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,96,3,0,-11,0
CA-2016-158568,2/09/2016,9,Standard Class,RB-19465,Corporate,United States,Chicago,Illinois,Central,Office Supplies,Office Furniture,Binders,Fully Assembled,Avery Hidden Tab Dividers for Binding Systems,2,3,1,-3,0
CA-2016-129903,4/12/2016,12,Second Class,GZ-14470,Non-Corporate,United States,Rochester,Minnesota,Central,Office Supplies,Office Furniture,Paper,Fully Assembled,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),24,4,0,12,0
CA-2016-128867,10/11/2016,11,Standard Class,CL-12565,Non-Corporate,United States,Urbandale,Iowa,Central,Office Supplies,Office Furniture,Art,Fully Assembled,"Hunt PowerHouse Electric Pencil Sharpener, Blue",76,2,0,23,0
CA-2016-128867,10/11/2016,11,Standard Class,CL-12565,Non-Corporate,United States,Urbandale,Iowa,Central,Office Supplies,Office Furniture,Binders,Fully Assembled,"Avery Durable Plastic 1"" Binders",27,6,0,13,0
CA-2016-103730,15/06/2016,6,First Class,SC-20725,Non-Corporate,United States,Wilmington,Delaware,East,Furniture,Office Furniture,Furnishings,Fully Assembled,Artistic Insta-Plaque,47,3,0,18,0
CA-2016-103730,15/06/2016,6,First Class,SC-20725,Non-Corporate,United States,Wilmington,Delaware,East,Office Supplies,Office Furniture,Binders,Fully Assembled,DXL Angle-View Binders with Locking Rings by Samsill,31,4,0,14,0
CA-2016-103730,15/06/2016,6,First Class,SC-20725,Non-Corporate,United States,Wilmington,Delaware,East,Office Supplies,Office Furniture,Storage,Fully Assembled,"Companion Letter/Legal File, Black",227,6,0,63,0
CA-2016-103730,15/06/2016,6,First Class,SC-20725,Non-Corporate,United States,Wilmington,Delaware,East,Office Supplies,Office Furniture,Envelopes,Fully Assembled,Globe Weis Peel & Seel First Class Envelopes,115,9,0,52,0
CA-2016-103730,15/06/2016,6,First Class,SC-20725,Non-Corporate,United States,Wilmington,Delaware,East,Technology,Office Technology,Phones,Handheld Technology,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68,7,0,20,0
US-2016-125969,10/11/2016,11,Second Class,LS-16975,Corporate,United States,Los Angeles,California,West,Furniture,Office Furniture,Chairs,Fully Assembled,"Global Task Chair, Black",81,2,0,-9,0
US-2016-125969,10/11/2016,11,Second Class,LS-16975,Corporate,United States,Los Angeles,California,West,Furniture,Office Furniture,Furnishings,Fully Assembled,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,239,3,0,26,0
CA-2016-145583,19/10/2016,10,Standard Class,LC-16885,Non-Corporate,United States,Roseville,California,West,Office Supplies,Office Furniture,Paper,Fully Assembled,Xerox 195,20,3,0,10,1
CA-2016-145583,19/10/2016,10,Standard Class,LC-16885,Non-Corporate,United States,Roseville,California,West,Office Supplies,Office Furniture,Paper,Fully Assembled,Xerox 1880,35,1,0,17,1
CA-2016-145583,19/10/2016,10,Standard Class,LC-16885,Non-Corporate,United States,Roseville,California,West,Office Supplies,Office Furniture,Art,Fully Assembled,"Sanford Colorific Colored Pencils, 12/Box",12,4,0,3,1
CA-2016-145583,19/10/2016,10,Standard Class,LC-16885,Non-Corporate,United States,Roseville,California,West,Office Supplies,Office Furniture,Fasteners,Fully Assembled,Ideal Clamps,4,2,0,2,1
CA-2016-145583,19/10/2016,10,Standard Class,LC-16885,Non-Corporate,United States,Roseville,California,West,Office Supplies,Office Furniture,Binders,Fully Assembled,GBC Wire Binding Strips,76,3,0,27,1
CA-2016-145583,19/10/2016,10,Standard Class,LC-16885,Non-Corporate,United States,Roseville,California,West,Office Supplies,Office Furniture,Supplies,Fully Assembled,Fiskars Softgrip Scissors,66,6,0,18,1
CA-2016-145583,19/10/2016,10,Standard Class,LC-16885,Non-Corporate,United States,Roseville,California,West,Furniture,Office Furniture,Furnishings,Fully Assembled,Longer-Life Soft White Bulbs,43,14,0,21,1
CA-2016-110366,7/09/2016,9,Second Class,JD-15895,Corporate,United States,Philadelphia,Pennsylvania,East,Furniture,Office Furniture,Furnishings,Fully Assembled,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",83,2,0,10,0
CA-2016-114489,9/12/2016,12,Standard Class,JE-16165,Corporate,United States,Franklin,Wisconsin,Central,Technology,Office Technology,Phones,Handheld Technology,Plantronics Cordless Phone Headset with In-line Volume - M214C,384,11,0,104,0
CA-2016-114489,9/12/2016,12,Standard Class,JE-16165,Corporate,United States,Franklin,Wisconsin,Central,Technology,Office Technology,Phones,Handheld Technology,Anker Astro 15000mAh USB Portable Charger,150,3,0,6,0
CA-2016-114489,9/12/2016,12,Standard Class,JE-16165,Corporate,United States,Franklin,Wisconsin,Central,Furniture,Office Furniture,Chairs,Fully Assembled,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1952,8,0,586,0
CA-2016-114489,9/12/2016,12,Standard Class,JE-16165,Corporate,United States,Franklin,Wisconsin,Central,Office Supplies,Office Furniture,Binders,Fully Assembled,GBC Prestige Therm-A-Bind Covers,172,5,0,81,0
CA-2016-158834,16/03/2016,3,First Class,TW-21025,Corporate,United States,Scottsdale,Arizona,West,Office Supplies,Office Furniture,Appliances,Fully Assembled,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,158,5,0,18,0
CA-2016-158834,16/03/2016,3,First Class,TW-21025,Corporate,United States,Scottsdale,Arizona,West,Technology,Office Technology,Phones,Handheld Technology,Jabra BIZ 2300 Duo QD Duo Corded Headset,203,2,0,15,0
CA-2016-114104,24/11/2016,11,Standard Class,NP-18670,Non-Corporate,United States,Edmond,Oklahoma,Central,Office Supplies,Office Furniture,Labels,Fully Assembled,Avery 519,15,2,0,7,0
CA-2016-114104,24/11/2016,11,Standard Class,NP-18670,Non-Corporate,United States,Edmond,Oklahoma,Central,Technology,Office Technology,Phones,Handheld Technology,Avaya 5420 Digital phone,945,7,0,236,0
CA-2016-162733,12/05/2016,5,First Class,TT-21070,Non-Corporate,United States,Los Angeles,California,West,Office Supplies,Office Furniture,Paper,Fully Assembled,Xerox 1920,6,1,0,3,0
CA-2016-154508,20/11/2016,11,Standard Class,RD-19900,Non-Corporate,United States,Carlsbad,New Mexico,West,Office Supplies,Office Furniture,Envelopes,Fully Assembled,Staple envelope,28,5,0,13,0
CA-2016-113817,11/11/2016,11,Standard Class,MJ-17740,Non-Corporate,United States,Seattle,Washington,West,Office Supplies,Office Furniture,Binders,Fully Assembled,Wilson Jones International Size A4 Ring Binders,28,2,0,10,0
CA-2016-105018,2/12/2016,12,Standard Class,SK-19990,Non-Corporate,United States,Fairfield,Connecticut,East,Office Supplies,Office Furniture,Binders,Fully Assembled,Avery Poly Binder Pockets,7,2,0,3,0
CA-2016-157000,22/07/2016,7,Standard Class,AM-10360,Corporate,United States,Grand Prairie,Texas,Central,Office Supplies,Office Furniture,Storage,Fully Assembled,"Personal Filing Tote with Lid, Black/Gray",37,3,0,4,0
CA-2016-157000,22/07/2016,7,Standard Class,AM-10360,Corporate,United States,Grand Prairie,Texas,Central,Office Supplies,Office Furniture,Paper,Fully Assembled,Southworth 25% Cotton Antique Laid Paper & Envelopes,20,3,0,6,0
CA-2016-130162,1/11/2016,11,Standard Class,JH-15910,Non-Corporate,United States,Los Angeles,California,West,Office Supplies,Office Furniture,Storage,Fully Assembled,"Personal Filing Tote with Lid, Black/Gray",93,6,0,26,0
CA-2016-130162,1/11/2016,11,Standard Class,JH-15910,Non-Corporate,United States,Los Angeles,California,West,Technology,Office Technology,Phones,Handheld Technology,Adtran 1202752G1,302,3,0,23,0
CA-2016-157749,9/06/2016,6,Second Class,KL-16645,Non-Corporate,United States,Chicago,Illinois,Central,Office Supplies,Office Furniture,Paper,Fully Assembled,Xerox 1957,26,5,0,9,0
CA-2016-157749,9/06/2016,6,Second Class,KL-16645,Non-Corporate,United States,Chicago,Illinois,Central,Furniture,Office Furniture,Furnishings,Fully Assembled,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,420,5,1,-357,0
CA-2016-157749,9/06/2016,6,Second Class,KL-16645,Non-Corporate,United States,Chicago,Illinois,Central,Furniture,Office Furniture,Furnishings,Fully Assembled,Staple-based wall hangings,12,3,1,-5,0
CA-2016-157749,9/06/2016,6,Second Class,KL-16645,Non-Corporate,United States,Chicago,Illinois,Central,Technology,Office Technology,Phones,Handheld Technology,PureGear Roll-On Screen Protector,32,2,0,11,0
CA-2016-157749,9/06/2016,6,Second Class,KL-16645,Non-Corporate,United States,Chicago,Illinois,Central,Furniture,Office Furniture,Tables,Fully Assembled,KI Conference Tables,177,5,1,-121,0
CA-2016-157749,9/06/2016,6,Second Class,KL-16645,Non-Corporate,United States,Chicago,Illinois,Central,Furniture,Office Furniture,Furnishings,Fully Assembled,Eldon 100 Class Desk Accessories,4,3,1,-3,0
CA-2016-157749,9/06/2016,6,Second Class,KL-16645,Non-Corporate,United States,Chicago,Illinois,Central,Office Supplies,Office Furniture,Art,Fully Assembled,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",7,2,0,1,0
CA-2016-154739,15/12/2016,12,Second Class,LH-17155,Non-Corporate,United States,San Francisco,California,West,Furniture,Office Furniture,Chairs,Fully Assembled,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",322,2,0,28,0
CA-2016-145625,17/09/2016,9,Standard Class,KC-16540,Non-Corporate,United States,San Diego,California,West,Office Supplies,Office Furniture,Paper,Fully Assembled,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",8,1,0,4,0
CA-2016-145625,17/09/2016,9,Standard Class,KC-16540,Non-Corporate,United States,San Diego,California,West,Technology,Office Technology,Accessories,Non-Handheld,Logitech P710e Mobile Speakerphone,3347,13,0,636,0
CA-2016-146941,13/12/2016,12,First Class,DL-13315,Non-Corporate,United States,New York City,New York,East,Office Supplies,Office Furniture,Storage,Fully Assembled,"Fellowes Personal Hanging Folder Files, Navy",81,6,0,23,0
CA-2016-146941,13/12/2016,12,First Class,DL-13315,Non-Corporate,United States,New York City,New York,East,Office Supplies,Office Furniture,Envelopes,Fully Assembled,Tyvek Side-Opening Peel & Seel Expanding Envelopes,362,4,0,163,0
CA-2016-125318,13/06/2016,6,Standard Class,RC-19825,Non-Corporate,United States,Chicago,Illinois,Central,Technology,Office Technology,Phones,Handheld Technology,Cisco Small Business SPA 502G VoIP phone,328,4,0,29,0
CA-2016-111010,28/01/2016,1,Standard Class,PG-18895,Non-Corporate,United States,Morristown,New Jersey,East,Office Supplies,Office Furniture,Fasteners,Fully Assembled,Bagged Rubber Bands,8,6,0,0,0
CA-2016-112697,20/12/2016,12,Second Class,AH-10195,Corporate,United States,Tamarac,Florida,South,Office Supplies,Office Furniture,Binders,Fully Assembled,GBC VeloBinder Electric Binding Machine,254,7,1,-169,0
CA-2016-112697,20/12/2016,12,Second Class,AH-10195,Corporate,United States,Tamarac,Florida,South,Office Supplies,Office Furniture,Appliances,Fully Assembled,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",195,2,0,24,0
CA-2016-112697,20/12/2016,12,Second Class,AH-10195,Corporate,United States,Tamarac,Florida,South,Office Supplies,Office Furniture,Supplies,Fully Assembled,Premier Automatic Letter Opener,961,5,0,-204,0
CA-2016-110772,24/11/2016,11,Second Class,NZ-18565,Corporate,United States,Columbus,Ohio,East,Office Supplies,Office Furniture,Fasteners,Fully Assembled,Advantus SlideClip Paper Clips,19,7,0,7,0
CA-2016-110772,24/11/2016,11,Second Class,NZ-18565,Corporate,United States,Columbus,Ohio,East,Office Supplies,Office Furniture,Labels,Fully Assembled,Avery 512,18,8,0,6,0
CA-2016-110772,24/11/2016,11,Second Class,NZ-18565,Corporate,United States,Columbus,Ohio,East,Technology,Office Technology,Accessories,Non-Handheld,Logitech Wireless Gaming Headset G930,256,2,0,54,0
CA-2016-110772,24/11/2016,11,Second Class,NZ-18565,Corporate,United States,Columbus,Ohio,East,Furniture,Office Furniture,Bookcases,Self-Assembled,"Bush Westfield Collection Bookcases, Medium Cherry Finish",87,3,1,-49,0
CA-2016-142545,3/11/2016,11,Standard Class,JD-15895,Corporate,United States,Belleville,New Jersey,East,Office Supplies,Office Furniture,Paper,Fully Assembled,Xerox 223,32,5,0,16,0
CA-2016-142545,3/11/2016,11,Standard Class,JD-15895,Corporate,United States,Belleville,New Jersey,East,Office Supplies,Office Furniture,Storage,Fully Assembled,"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",1082,8,0,11,0
CA-2016-142545,3/11/2016,11,Standard Class,JD-15895,Corporate,United States,Belleville,New Jersey,East,Office Supplies,Office Furniture,Paper,Fully Assembled,Xerox 1939,57,3,0,27,0
CA-2016-142545,3/11/2016,11,Standard Class,JD-15895,Corporate,United States,Belleville,New Jersey,East,Furniture,Office Furniture,Furnishings,Fully Assembled,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",78,4,0,38,0
CA-2016-142545,3/11/2016,11,Standard Class,JD-15895,Corporate,United States,Belleville,New Jersey,East,Office Supplies,Office Furniture,Binders,Fully Assembled,Avery Premier Heavy-Duty Binder with Round Locking Rings,14,1,0,7,0
CA-2016-142902,14/09/2016,9,Second Class,BP-11185,Corporate,United States,Arvada,Colorado,West,Furniture,Office Furniture,Furnishings,Fully Assembled,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,15,4,0,4,0
CA-2016-142902,14/09/2016,9,Second Class,BP-11185,Corporate,United States,Arvada,Colorado,West,Furniture,Office Furniture,Chairs,Fully Assembled,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,467,2,0,53,0
CA-2016-142902,14/09/2016,9,Second Class,BP-11185,Corporate,United States,Arvada,Colorado,West,Furniture,Office Furniture,Furnishings,Fully Assembled,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",15,1,0,2,0
CA-2016-142902,14/09/2016,9,Second Class,BP-11185,Corporate,United States,Arvada,Colorado,West,Office Supplies,Office Furniture,Labels,Fully Assembled,Avery 509,6,3,0,2,0
CA-2016-162138,27/04/2016,4,Standard Class,GK-14620,Corporate,United States,Hesperia,California,West,Office Supplies,Office Furniture,Binders,Fully Assembled,Ibico Laser Imprintable Binding System Covers,252,6,0,82,1
CA-2016-162138,27/04/2016,4,Standard Class,GK-14620,Corporate,United States,Hesperia,California,West,Technology,Office Technology,Accessories,Non-Handheld,Logitech Wireless Headset h800,100,1,0,35,1
US-2016-141544,1/09/2016,9,First Class,PO-18850,Non-Corporate,United States,Philadelphia,Pennsylvania,East,Technology,Office Technology,Phones,Handheld Technology,Aastra 57i VoIP phone,291,3,0,-68,0
US-2016-141544,1/09/2016,9,First Class,PO-18850,Non-Corporate,United States,Philadelphia,Pennsylvania,East,Office Supplies,Office Furniture,Storage,Fully Assembled,"File Shuttle II and Handi-File, Black",54,2,0,3,0
US-2016-141544,1/09/2016,9,First Class,PO-18850,Non-Corporate,United States,Philadelphia,Pennsylvania,East,Furniture,Office Furniture,Chairs,Fully Assembled,Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,787,4,0,-259,0
US-2016-141544,1/09/2016,9,First Class,PO-18850,Non-Corporate,United States,Philadelphia,Pennsylvania,East,Office Supplies,Office Furniture,Labels,Fully Assembled,Round Specialty Laser Printer Labels,100,10,0,34,0
US-2016-141544,1/09/2016,9,First Class,PO-18850,Non-Corporate,United States,Philadelphia,Pennsylvania,East,Office Supplies,Office Furniture,Binders,Fully Assembled,GBC Premium Transparent Covers with Diagonal Lined Pattern,38,6,1,-28,0
US-2016-150147,29/04/2016,4,Second Class,JL-15850,Non-Corporate,United States,Philadelphia,Pennsylvania,East,Technology,Office Technology,Phones,Handheld Technology,AT&T 841000 Phone,83,2,0,-21,0
US-2016-150147,29/04/2016,4,Second Class,JL-15850,Non-Corporate,United States,Philadelphia,Pennsylvania,East,Office Supplies,Office Furniture,Binders,Fully Assembled,Ibico Recycled Grain-Textured Covers,21,2,1,-14,0
US-2016-150147,29/04/2016,4,Second Class,JL-15850,Non-Corporate,United States,Philadelphia,Pennsylvania,East,Office Supplies,Office Furniture,Binders,Fully Assembled,Wilson Jones Custom Binder Spines & Labels,5,3,1,-3,0
CA-2016-129714,3/09/2016,9,First Class,AB-10060,Corporate,United States,New York City,New York,East,Technology,Office Technology,Accessories,Non-Handheld,Sabrent 4-Port USB 2.0 Hub,7,1,0,2,0
CA-2016-129714,3/09/2016,9,First Class,AB-10060,Corporate,United States,New York City,New York,East,Office Supplies,Office Furniture,Paper,Fully Assembled,Xerox 1881,25,2,0,12,0
CA-2016-129714,3/09/2016,9,First Class,AB-10060,Corporate,United States,New York City,New York,East,Office Supplies,Office Furniture,Binders,Fully Assembled,Acco Hanging Data Binders,3,1,0,1,0
CA-2016-129714,3/09/2016,9,First Class,AB-10060,Corporate,United States,New York City,New York,East,Office Supplies,Office Furniture,Paper,Fully Assembled,Xerox 1881,49,4,0,23,0
CA-2016-129714,3/09/2016,9,First Class,AB-10060,Corporate,United States,New York City,New York,East,Office Supplies,Office Furniture,Binders,Fully Assembled,GBC DocuBind P400 Electric Binding System,4355,4,0,1415,0
CA-2016-138520,13/04/2016,4,Standard Class,JL-15505,Non-Corporate,United States,New York City,New York,East,Furniture,Office Furniture,Bookcases,Self-Assembled,Sauder Barrister Bookcases,389,6,0,-5,0
CA-2016-138520,13/04/2016,4,Standard Class,JL-15505,Non-Corporate,United States,New York City,New York,East,Office Supplies,Office Furniture,Envelopes,Fully Assembled,"#10 Gummed Flap White Envelopes, 100/Box",8,2,0,4,0
CA-2016-138520,13/04/2016,4,Standard Class,JL-15505,Non-Corporate,United States,New York City,New York,East,Office Supplies,Office Furniture,Art,Fully Assembled,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",17,4,0,7,0
CA-2016-138520,13/04/2016,4,Standard Class,JL-15505,Non-Corporate,United States,New York City,New York,East,Office Supplies,Office Furniture,Paper,Fully Assembled,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",34,5,0,16,0
CA-2016-130001,28/04/2016,4,Standard Class,HK-14890,Corporate,United States,Charlotte,North Carolina,South,Office Supplies,Office Furniture,Paper,Fully Assembled,Southworth 25% Cotton Linen-Finish Paper & Envelopes,36,5,0,11,0
CA-2016-155516,21/10/2016,10,Same Day,MK-17905,Corporate,United States,Manchester,Connecticut,East,Office Supplies,Office Furniture,Binders,Fully Assembled,Wilson Jones “Snap” Scratch Pad Binder Tool for Ring Binders,23,4,0,10,0
CA-2016-155516,21/10/2016,10,Same Day,MK-17905,Corporate,United States,Manchester,Connecticut,East,Office Supplies,Office Furniture,Supplies,Fully Assembled,Staple remover,7,2,0,0,0
CA-2016-155516,21/10/2016,10,Same Day,MK-17905,Corporate,United States,Manchester,Connecticut,East,Office Supplies,Office Furniture,Storage,Fully Assembled,Pizazz Global Quick File,105,7,0,29,0
CA-2016-155516,21/10/2016,10,Same Day,MK-17905,Corporate,United States,Manchester,Connecticut,East,Furniture,Office Furniture,Bookcases,Self-Assembled,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",1044,4,0,271,0
US-2016-134656,1/10/2016,10,First Class,MM-18280,Corporate,United States,Quincy,Illinois,Central,Office Supplies,Office Furniture,Paper,Fully Assembled,Xerox 1960,99,4,0,31,0
CA-2016-134775,29/10/2016,10,First Class,AS-10285,Corporate,United States,San Francisco,California,West,Office Supplies,Office Furniture,Paper,Fully Assembled,Southworth Structures Collection,51,7,0,25,1
CA-2016-134775,29/10/2016,10,First Class,AS-10285,Corporate,United States,San Francisco,California,West,Office Supplies,Office Furniture,Binders,Fully Assembled,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",50,3,0,17,1
CA-2016-108987,10/09/2016,9,Second Class,AG-10675,Non-Corporate,United States,Houston,Texas,Central,Office Supplies,Office Furniture,Storage,Fully Assembled,Super Decoflex Portable Personal File,36,3,0,4,0
